"","heart_disease_mortality_per_100k","econ__pct_civilian_labor","econ__pct_unemployment","econ__pct_uninsured_adults","econ__pct_uninsured_children","demo__pct_below_18_years_of_age","demo__pct_aged_65_years_and_older","demo__birth_rate_per_1k","demo__death_rate_per_1k","health__pct_adult_obesity","health__pct_adult_smoking","health__pct_diabetes","health__pct_low_birthweight","health__pct_excessive_drinking","health__pct_physical_inacticity","health__air_pollution_particulate_matter","health__homicides_per_100k","health__motor_vehicle_crash_deaths_per_100k","health__pop_per_dentist","health__pop_per_primary_care_physician","Area_Rucc","Econ_Economic_typology","Area_Urban_Influence"
"11",288,0.476,0.028,0.252,0.166,0.255,0.178,13,10,0.314,NA,0.12,NA,NA,0.394,10,NA,NA,3780,3700,"B2","Mining","N4"
"12",300,0.432,0.051,0.199,0.044,0.212,0.195,8,13,0.302,0.246,0.144,0.09,0.15,0.303,13,NA,23.37,6549,3710,"C2","Nonsp","N1"
"13",322,0.417,0.087,0.243,0.089,0.215,0.219,9,15,0.346,0.22,0.126,0.071,NA,0.343,11,NA,49.02,1119,1640,"B2","Mining","M5"
"14",213,0.489,0.054,0.26,0.096,0.229,0.137,13,7,0.195,0.11,0.067,0.053,0.174,0.142,7,1.6,8.78,1330,1289,"A2","Nonsp","M2"
"15",310,0.456,0.065,0.247,0.081,0.188,0.18,9,13,0.337,0.348,0.12,0.107,NA,0.364,12,NA,NA,NA,5140,"B2","Manu","M5"
"16",337,0.446,0.049,0.318,0.147,0.233,0.192,11,11,0.312,0.206,0.117,0.078,0.101,0.327,10,4.76,35.65,3790,7530,"C2","Farm","N7"
"17",276,0.459,0.07,0.215,0.054,0.241,0.128,14,9,0.362,0.185,0.137,0.117,0.144,0.287,13,13.06,14.94,1680,1119,"A2","Fed","M2"
"18",204,0.448,0.044,0.377,0.2,0.211,0.246,13,15,0.294,NA,0.113,0.095,0.186,0.289,10,NA,NA,NA,NA,"B2","Fed","M5"
"19",228,0.527,0.085,0.274,0.153,0.256,0.093,15,7,0.303,0.234,0.058,0.056,0.221,0.236,NA,NA,NA,2439,1379,"B2","Recr","N5"
"20",438,0.427,0.083,0.231,0.084,0.268,0.171,14,14,0.337,0.307,0.121,0.107,NA,0.385,13,NA,23.16,3169,1759,"D2","Nonsp","M5"
"21",262,0.504,0.04,0.172,0.074,0.248,0.181,12,12,0.323,0.176,0.121,0.068,NA,0.262,13,NA,11.27,3639,2039,"C2","Manu","M4"
"22",241,0.404,0.08,0.213,0.082,0.171,0.222,9,14,0.232,0.194,0.092,0.052,0.265,0.205,10,NA,16.46,939,1080,"C1","Recr","M4"
"23",261,0.559,0.027,0.153,0.062,0.228,0.199,11,14,0.311,0.173,0.089,0.056,0.194,0.306,12,NA,NA,8360,4150,"A3","Farm","M2"
"24",287,0.522,0.053,0.114,0.044,0.218,0.199,10,14,0.273,0.199,0.105,0.078,0.256,0.232,11,NA,17.77,2609,1620,"C2","Manu","N1"
"25",269,0.464,0.053,0.145,0.043,0.228,0.169,11,11,0.38,0.192,0.114,0.104,0.208,0.266,12,10.4,11.42,1570,1170,"A3","Nonsp","M2"
"26",315,0.438,0.06,0.199,0.05,0.283,0.129,14,9,0.362,0.273,0.117,0.086,NA,0.307,13,NA,26.12,3529,1879,"A1","Nonsp","M1"
"27",324,0.417,0.082,0.219,0.055,0.247,0.168,14,13,0.309,0.279,0.116,0.085,NA,0.33,14,4.17,26.79,3859,2330,"C2","Nonsp","M3"
"28",345,0.423,0.064,0.269,0.06,0.227,0.197,12,15,0.376,0.166,0.118,0.088,NA,0.328,13,NA,38.48,4409,2859,"C2","Nonsp","N1"
"29",199,0.457,0.054,0.279,0.126,0.216,0.215,9,11,0.202,0.194,0.062,0.06,0.183,0.194,11,NA,20.24,2159,1440,"C2","Nonsp","N1"
"30",313,0.454,0.056,0.219,0.056,0.267,0.114,14,8,0.302,0.206,0.107,0.082,0.158,0.291,12,4.24,24.24,3910,5770,"A2","Nonsp","M2"
"31",243,0.601,0.04,0.116,0.053,0.222,0.207,11,13,0.337,0.181,0.091,0.073,0.12,0.287,8,NA,21.68,7269,2450,"B1","Manu","N1"
"32",250,0.432,0.043,0.259,0.154,0.203,0.24,12,14,0.268,0.223,0.112,0.073,0.184,0.246,10,3,21.12,2400,1919,"A1","Mining","M1"
"33",378,0.331,0.055,0.292,0.104,0.197,0.124,8,7,0.328,NA,0.121,0.138,NA,0.287,12,NA,NA,3259,3249,"B1","Farm","N2"
"34",300,0.411,0.067,0.204,0.057,0.193,0.183,9,10,0.364,0.306,0.156,0.113,NA,0.323,13,NA,24.31,NA,NA,"B1","Manu","M3"
"35",175,0.547,0.04,0.097,0.064,0.219,0.188,11,11,0.264,0.13,0.086,0.058,0.216,0.239,12,NA,12.44,2080,1560,"A3","Nonsp","M2"
"36",255,0.512,0.07,0.138,0.029,0.283,0.096,11,6,0.322,0.182,0.106,0.086,0.233,0.235,13,2.59,8.31,2079,1990,"A1","Nonsp","M1"
"37",275,0.318,0.057,0.252,0.173,0.272,0.254,7,11,0.252,NA,0.095,NA,NA,0.228,11,NA,NA,NA,NA,"B2","Farm","M5"
"38",185,0.441,0.058,0.327,0.125,0.183,0.244,9,10,0.23,0.219,0.081,0.098,0.181,0.222,9,8.38,17.85,2910,1569,"D2","Recr","N3"
"39",249,0.397,0.082,0.232,0.157,0.198,0.255,12,15,0.273,0.25,0.118,0.085,0.145,0.256,10,8.8,25.83,1759,1709,"C1","Recr","M3"
"40",233,0.321,0.097,0.214,0.09,0.177,0.267,7,12,0.315,0.159,0.123,NA,0.181,0.226,10,NA,NA,2019,NA,"B1","Nonsp","N7"
"41",314,0.368,0.107,0.298,0.099,0.22,0.171,10,10,0.364,0.268,0.157,0.15,NA,0.317,13,NA,16.47,5139,NA,"B2","Nonsp","M5"
"42",307,0.567,0.043,0.213,0.121,0.226,0.202,13,13,0.323,0.203,0.122,0.053,NA,0.342,10,NA,NA,1390,819,"B2","Mining","N4"
"43",294,0.342,0.064,0.242,0.097,0.195,0.214,9,13,0.355,0.306,0.155,0.08,0.079,0.337,12,NA,47.4,3979,5369,"C2","Fed","N2"
"44",383,0.296,0.151,0.273,0.084,0.227,0.131,14,11,0.444,0.181,0.192,0.177,0.085,0.361,11,NA,22.59,NA,3809,"B1","Nonsp","N2"
"45",310,0.351,0.092,0.19,0.084,0.209,0.168,9,13,0.289,0.319,0.126,0.085,NA,0.297,13,NA,18.65,16109,3140,"B2","Mining","M5"
"46",280,0.413,0.049,0.318,0.095,0.271,0.13,16,6,0.274,0.231,0.072,0.083,0.132,0.286,9,NA,18.57,3580,1569,"D2","Farm","M5"
"47",360,0.419,0.059,0.25,0.051,0.241,0.187,10,14,0.35,0.346,0.151,0.091,NA,0.339,11,NA,32.42,9080,3000,"D2","Manu","N3"
"48",276,0.521,0.051,0.149,0.057,0.2,0.229,8,12,0.301,0.23,0.108,0.078,0.25,0.251,11,NA,29.53,3130,979,"D2","Recr","N5"
"49",296,0.331,0.076,0.25,0.107,0.197,0.156,11,11,0.373,0.211,0.138,0.098,0.111,0.332,12,8.84,31.48,8850,7329,"C2","Fed","N1"
"50",316,0.495,0.064,0.177,0.051,0.219,0.139,12,9,0.339,0.188,0.11,0.092,0.139,0.276,12,6.8,14.17,1289,1300,"A2","Nonsp","M2"
"51",285,0.335,0.06,0.233,0.102,0.27,0.073,14,6,0.293,0.162,0.089,0.081,NA,0.258,9,2.91,13.6,5919,5460,"A2","Fed","M2"
"52",319,0.436,0.065,0.213,0.086,0.214,0.15,11,10,0.329,0.258,0.099,0.075,0.153,0.254,10,3.22,20.12,2659,999,"D1","Fed","M5"
"53",272,0.506,0.037,0.101,0.044,0.244,0.145,11,8,0.289,0.284,0.09,0.081,0.225,0.273,9,NA,18.88,2479,1640,"A2","Fed","M2"
"54",343,0.326,0.112,0.187,0.065,0.183,0.186,8,14,0.289,0.295,0.12,0.1,NA,0.278,13,9.1,36.69,5890,2980,"B2","Mining","N4"
"55",228,0.592,0.027,0.132,0.064,0.241,0.181,14,9,0.301,0.167,0.083,0.059,0.17,0.257,12,NA,NA,3279,3290,"D2","Manu","M5"
"56",284,0.561,0.066,0.223,0.156,0.27,0.132,15,5,0.299,0.174,0.073,0.075,0.162,0.212,13,NA,36.99,6030,5940,"D2","Mining","N3"
"57",253,0.526,0.045,0.094,0.039,0.182,0.184,9,11,0.288,0.182,0.097,0.058,0.167,0.212,11,1.7,11.3,1400,1259,"C1","Recr","M4"
"58",229,0.506,0.056,0.151,0.041,0.235,0.169,10,10,0.291,0.163,0.112,0.063,0.209,0.254,12,NA,20.33,2909,1699,"C1","Nonsp","M3"
"59",291,0.381,0.077,0.221,0.089,0.202,0.247,8,12,0.327,0.209,0.156,0.091,NA,0.257,12,NA,14.06,13600,4520,"B1","Nonsp","M3"
"60",363,0.452,0.055,0.257,0.115,0.239,0.178,12,11,0.354,0.247,0.145,0.066,NA,0.352,10,NA,41.37,1269,3289,"A2","Mining","M2"
"61",281,0.396,0.079,0.141,0.065,0.203,0.148,10,9,0.294,0.26,0.112,0.072,0.224,0.254,11,1,11.5,2660,1829,"C1","Fed","M4"
"62",244,0.68,0.02,0.2,0.106,0.219,0.229,7,19,0.292,0.122,0.096,NA,0.14,0.331,13,NA,NA,1019,980,"B2","Farm","M5"
"63",223,0.389,0.058,0.164,0.059,0.217,0.108,11,6,0.361,0.251,0.123,0.079,0.176,0.257,12,NA,14.05,5319,6150,"A1","Fed","M1"
"64",214,0.474,0.054,0.188,0.078,0.265,0.112,13,6,0.264,0.161,0.097,0.089,0.156,0.232,13,1.01,11.16,1830,839,"A2","Nonsp","M2"
"65",375,0.451,0.055,0.234,0.049,0.25,0.145,13,10,0.346,0.177,0.136,0.07,0.106,0.343,13,5.8,24.63,3590,1869,"C1","Manu","M4"
"66",236,0.567,0.053,0.125,0.045,0.228,0.166,10,11,0.319,0.19,0.091,0.055,0.258,0.2,12,NA,20.99,2200,1040,"C2","Manu","N7"
"67",232,0.499,0.061,0.163,0.121,0.281,0.116,15,5,0.336,0.202,0.098,0.074,0.189,0.249,10,NA,23.64,4410,2859,"D2","Mining","N3"
"68",212,0.558,0.05,0.077,0.032,0.226,0.148,11,8,0.272,0.136,0.093,0.057,0.285,0.224,12,0.67,10.1,2049,1650,"A1","Manu","M1"
"69",340,0.498,0.065,0.222,0.059,0.223,0.141,14,12,0.354,0.263,0.112,0.108,0.132,0.246,13,10.35,9.9,1840,1379,"A2","Nonsp","M2"
"70",330,0.408,0.049,0.243,0.043,0.224,0.196,12,13,0.348,0.327,0.136,0.094,0.131,0.319,13,8.1,25.82,13360,4480,"A3","Nonsp","M2"
"71",279,0.467,0.051,0.248,0.09,0.223,0.13,14,9,0.28,0.187,0.103,0.096,0.162,0.239,13,10.9,12.5,1600,1199,"A2","Nonsp","M2"
"72",229,0.509,0.085,0.283,0.155,0.246,0.09,12,6,0.276,0.242,0.062,0.042,0.215,0.239,NA,NA,17.68,2470,1950,"B2","Recr","N5"
"73",227,0.521,0.057,0.221,0.091,0.23,0.163,11,8,0.23,0.089,0.067,0.058,0.237,0.138,8,0.93,10.82,1349,1160,"A3","Recr","M2"
"74",306,0.559,0.039,0.215,0.106,0.23,0.231,12,16,0.283,0.128,0.091,0.053,0.2,0.33,12,NA,37.87,1459,2140,"B2","Farm","N4"
"75",263,0.527,0.033,0.285,0.102,0.309,0.102,19,6,0.333,0.171,0.098,0.075,0.141,0.303,12,NA,20.49,2320,2040,"D1","Manu","M5"
"76",218,0.468,0.045,0.242,0.128,0.247,0.075,17,5,0.291,0.198,0.067,0.067,0.198,0.198,NA,4.3,9.73,890,1429,"A3","Fed","M2"
"77",199,0.574,0.059,0.126,0.09,0.212,0.227,10,12,0.323,NA,0.088,0.061,NA,0.228,13,NA,28.11,2910,8630,"B2","Farm","N4"
"78",324,0.483,0.066,0.188,0.074,0.2,0.207,11,13,0.343,0.244,0.099,0.079,0.142,0.278,14,NA,24.18,4540,2599,"D2","Manu","N3"
"79",257,0.517,0.06,0.163,0.08,0.225,0.173,10,7,0.306,0.187,0.102,0.086,0.199,0.28,14,NA,19.49,2650,4189,"B1","Nonsp","N2"
"80",330,0.367,0.099,0.238,0.075,0.226,0.179,11,13,0.319,0.307,0.136,0.085,0.07,0.385,13,NA,25.59,2940,1600,"B2","Manu","N4"
"81",283,0.578,0.032,0.123,0.036,0.235,0.172,10,11,0.321,0.229,0.095,0.056,0.222,0.283,11,NA,21.62,2069,2180,"C2","Nonsp","M4"
"82",207,0.568,0.044,0.099,0.027,0.183,0.158,9,8,0.225,0.145,0.081,0.051,0.192,0.175,11,NA,11.81,2289,869,"C2","Nonsp","N1"
"83",247,0.593,0.037,0.159,0.061,0.229,0.207,13,13,0.338,0.184,0.108,0.071,0.213,0.288,9,NA,21.03,1690,1659,"C2","Nonsp","N1"
"84",199,0.445,0.029,0.13,0.102,0.352,0.112,16,4,0.226,NA,0.078,0.058,NA,0.204,12,NA,NA,3389,1629,"A2","Nonsp","M2"
"85",337,0.363,0.057,0.373,0.19,0.217,0.144,12,10,0.316,NA,0.092,0.084,NA,0.28,9,NA,32.12,4049,6869,"C2","Fed","N1"
"86",399,0.326,0.099,0.225,0.066,0.231,0.139,14,12,0.368,0.327,0.143,0.154,NA,0.346,13,NA,37.06,5309,1599,"C2","Nonsp","N2"
"87",259,0.362,0.046,0.329,0.138,0.253,0.176,13,11,0.287,NA,0.102,0.122,NA,0.3,10,NA,20.9,3879,3940,"C2","Farm","N1"
"88",229,0.466,0.05,0.277,0.13,0.273,0.145,12,8,0.253,0.195,0.078,0.086,0.106,0.252,14,NA,24.24,2119,2500,"D2","Nonsp","N5"
"89",305,0.492,0.06,0.179,0.043,0.225,0.159,11,10,0.316,0.182,0.105,0.077,0.198,0.226,13,2.7,7.78,1269,1689,"A1","Manu","M1"
"90",293,0.47,0.047,0.299,0.177,0.223,0.251,10,14,0.3,NA,0.128,NA,NA,0.284,9,NA,NA,NA,NA,"B2","Mining","M5"
"91",182,0.65,0.039,0.19,0.106,0.198,0.236,14,15,0.294,NA,0.114,NA,NA,0.312,12,NA,NA,NA,NA,"B2","Farm","M5"
"92",327,0.474,0.049,0.185,0.053,0.184,0.192,9,12,0.316,0.315,0.11,0.093,0.147,0.271,13,NA,13.74,3830,1649,"A3","Manu","M2"
"93",200,0.595,0.047,0.103,0.08,0.211,0.232,9,10,0.322,NA,0.094,0.061,NA,0.222,13,NA,26.17,2840,8570,"B2","Farm","N4"
"94",245,0.473,0.044,0.193,0.095,0.153,0.281,9,12,0.262,0.334,0.129,0.096,0.277,0.232,12,NA,20.11,2149,2699,"B1","Recr","N7"
"95",224,0.514,0.038,0.153,0.059,0.236,0.136,11,8,0.252,0.174,0.102,0.057,0.16,0.197,13,3.7,16.36,1860,1840,"A1","Nonsp","M1"
"96",348,0.376,0.105,0.231,0.053,0.234,0.201,10,13,0.364,0.237,0.182,0.116,NA,0.379,13,9.66,47.98,6509,2619,"D2","Nonsp","N5"
"97",271,0.39,0.071,0.258,0.064,0.18,0.296,8,16,0.278,0.244,0.106,0.077,0.144,0.312,11,NA,26.25,2190,1089,"D2","Nonsp","M5"
"98",267,0.509,0.067,0.137,0.046,0.208,0.187,10,12,0.304,0.187,0.123,0.076,0.143,0.29,14,3.22,12.16,2089,2430,"A1","Nonsp","M1"
"99",306,0.488,0.046,0.282,0.184,0.203,0.237,11,14,0.302,NA,0.118,0.107,NA,0.324,9,NA,NA,3860,3910,"B1","Farm","N2"
"100",228,0.509,0.045,0.142,0.045,0.218,0.16,12,10,0.309,0.174,0.109,0.063,0.169,0.237,10,0.9,10,1950,1369,"A3","Nonsp","M2"
"101",210,0.511,0.05,0.156,0.038,0.203,0.155,10,7,0.211,0.146,0.068,0.079,0.166,0.239,11,1.28,5.25,829,809,"A1","Nonsp","M1"
"102",321,0.422,0.113,0.191,0.065,0.194,0.205,8,14,0.343,0.314,0.115,0.088,0.129,0.251,12,NA,15.28,2610,2230,"B1","Recr","N2"
"103",224,0.34,0.083,0.31,0.079,0.252,0.144,12,10,0.327,0.188,0.139,0.103,0.127,0.256,10,10,25.72,2270,1699,"C2","Fed","M4"
"104",191,0.512,0.039,0.092,0.037,0.212,0.143,7,7,0.206,0.12,0.058,0.075,0.176,0.191,12,NA,4.68,1249,849,"A1","Nonsp","M1"
"105",302,0.513,0.042,0.228,0.113,0.262,0.148,15,10,0.295,0.192,0.137,0.08,0.108,0.301,14,NA,16.21,2740,3660,"C2","Manu","M3"
"106",351,0.366,0.114,0.258,0.166,0.179,0.244,11,15,0.29,0.265,0.119,0.078,0.207,0.306,12,NA,52.19,2349,1139,"D2","Nonsp","N5"
"107",285,0.497,0.039,0.201,0.081,0.264,0.123,15,8,0.293,0.163,0.111,0.069,0.132,0.199,10,1.2,11.21,1120,1440,"A3","Fed","M2"
"108",273,0.567,0.038,0.099,0.063,0.217,0.232,9,16,0.316,NA,0.102,0.045,NA,0.264,11,NA,NA,2249,NA,"B2","Farm","M5"
"109",292,0.423,0.072,0.238,0.061,0.23,0.181,12,12,0.348,0.365,0.125,0.088,NA,0.328,14,4.93,28.01,2530,2989,"C2","Manu","N1"
"110",315,0.379,0.101,0.295,0.092,0.236,0.178,10,14,0.361,0.203,0.164,0.131,0.139,0.382,13,NA,40.38,4869,3809,"D2","Nonsp","N3"
"111",307,0.41,0.06,0.229,0.068,0.228,0.177,11,12,0.306,0.266,0.138,0.083,0.066,0.327,13,2.9,20.26,1480,1220,"D1","Nonsp","M5"
"112",202,0.471,0.072,0.162,0.068,0.219,0.172,9,8,0.204,0.147,0.081,0.046,0.216,0.151,9,1.58,11,1330,1439,"A1","Recr","M1"
"113",259,0.5,0.059,0.126,0.036,0.235,0.132,9,7,0.257,0.17,0.088,0.059,0.224,0.185,12,0.19,9.99,1749,2160,"A1","Nonsp","M1"
"114",303,0.419,0.077,0.279,0.128,0.288,0.149,10,6,0.298,NA,0.118,0.08,NA,0.268,13,NA,33.25,NA,NA,"B1","Manu","M4"
"115",380,0.391,0.06,0.301,0.12,0.244,0.166,13,10,0.281,NA,0.106,0.07,NA,0.282,10,NA,20.08,3280,1889,"C2","Fed","M4"
"116",242,0.523,0.044,0.121,0.03,0.216,0.133,12,8,0.259,0.152,0.084,0.095,0.215,0.214,12,6.7,8.59,1800,1249,"A1","Nonsp","M1"
"117",242,0.641,0.067,0.089,0.031,0.217,0.141,12,7,0.236,0.147,0.076,0.056,0.254,0.191,10,NA,NA,1290,2020,"D2","Recr","N5"
"118",303,0.395,0.088,0.288,0.082,0.209,0.131,11,10,0.394,0.185,0.131,0.162,0.082,0.335,12,11.15,42,5840,5099,"D2","Farm","N3"
"119",315,0.412,0.044,0.293,0.126,0.209,0.151,10,10,0.29,NA,0.093,0.096,NA,0.284,10,NA,NA,2109,769,"D2","Fed","N5"
"120",238,0.52,0.034,0.212,0.094,0.225,0.181,14,8,0.303,0.228,0.103,0.065,0.215,0.32,11,NA,NA,4759,2329,"B2","Farm","N4"
"121",272,0.438,0.064,0.237,0.1,0.251,0.183,10,13,0.284,0.202,0.076,0.099,0.155,0.202,13,NA,24.06,4669,1159,"C2","Nonsp","N1"
"122",270,0.454,0.051,0.201,0.073,0.195,0.198,7,9,0.325,NA,0.101,0.068,NA,0.253,13,NA,27.66,2599,5210,"A2","Recr","M2"
"123",204,0.537,0.058,0.2,0.069,0.24,0.098,13,6,0.333,0.14,0.119,0.092,0.106,0.234,13,14.63,12.3,1800,1800,"A1","Fed","M1"
"124",248,0.56,0.046,0.201,0.106,0.232,0.19,11,12,0.319,0.207,0.119,0.073,0.109,0.27,13,NA,20.41,3050,2220,"C2","Manu","N1"
"125",243,0.475,0.053,0.215,0.088,0.27,0.128,14,8,0.318,0.212,0.106,0.089,0.167,0.254,13,6.6,7.56,1789,1629,"A2","Nonsp","M2"
"126",352,0.363,0.097,0.342,0.103,0.252,0.145,15,11,0.429,0.135,0.203,0.129,NA,0.39,13,NA,30.97,5540,5600,"D2","Nonsp","N3"
"127",187,0.587,0.023,0.138,0.058,0.191,0.14,11,5,0.287,0.13,0.073,0.062,0.191,0.264,11,NA,NA,1879,1909,"C2","Farm","N1"
"128",317,0.373,0.081,0.209,0.033,0.205,0.181,10,12,0.366,0.337,0.117,0.1,0.104,0.392,13,NA,29.06,3870,1689,"C2","Nonsp","M4"
"129",236,0.498,0.085,0.196,0.079,0.195,0.227,10,13,0.316,0.122,0.108,0.07,0.139,0.203,11,NA,14.55,2950,2490,"B2","Recr","M5"
"130",250,0.535,0.05,0.115,0.053,0.24,0.163,11,8,0.291,0.225,0.09,0.072,0.195,0.257,11,NA,17.04,4350,6520,"A2","Nonsp","M2"
"131",204,0.482,0.071,0.293,0.08,0.26,0.149,13,8,0.296,0.147,0.098,0.07,0.146,0.196,11,NA,11.19,1879,2780,"A3","Farm","M2"
"132",239,0.395,0.063,0.377,0.145,0.297,0.134,17,7,0.278,0.122,0.1,0.072,0.126,0.258,10,2.59,11.07,3369,3060,"D1","Fed","M5"
"133",220,0.544,0.037,0.168,0.047,0.197,0.17,8,9,0.258,0.168,0.088,0.061,0.166,0.193,11,NA,11.75,1780,1390,"C1","Nonsp","M4"
"134",255,0.523,0.058,0.244,0.139,0.245,0.195,11,10,0.326,0.286,0.126,0.093,NA,0.365,9,NA,NA,NA,3800,"B2","Farm","M5"
"135",344,0.416,0.08,0.233,0.067,0.229,0.148,12,12,0.349,0.293,0.116,0.086,0.078,0.361,14,NA,23.18,3339,1850,"C2","Nonsp","N1"
"136",269,0.52,0.042,0.13,0.055,0.211,0.189,7,9,0.282,0.147,0.12,0.075,NA,0.225,13,NA,12.15,4710,2070,"A2","Nonsp","M2"
"137",281,0.49,0.057,0.227,0.109,0.257,0.139,13,9,0.332,0.272,0.101,0.071,0.154,0.257,13,NA,18.98,4400,2790,"C2","Manu","M4"
"138",239,0.557,0.036,0.096,0.025,0.234,0.129,13,9,0.291,0.197,0.076,0.074,0.2,0.246,11,NA,16.77,2289,1660,"A3","Nonsp","M2"
"139",221,0.524,0.046,0.226,0.116,0.217,0.139,10,8,0.244,0.184,0.109,0.078,0.206,0.206,11,4.7,8.76,1870,1349,"A1","Nonsp","M1"
"140",202,0.41,0.06,0.273,0.153,0.157,0.329,8,15,0.258,0.183,0.127,0.075,NA,0.311,9,NA,16.48,2399,1189,"D2","Recr","N5"
"141",288,0.545,0.044,0.159,0.081,0.244,0.176,8,9,0.326,0.112,0.098,0.073,0.088,0.303,11,NA,NA,2050,2030,"B2","Farm","M5"
"142",257,0.521,0.061,0.179,0.074,0.236,0.159,12,9,0.313,0.247,0.103,0.066,NA,0.329,11,5.11,24.09,5510,6499,"A1","Manu","M1"
"143",327,0.338,0.115,0.255,0.074,0.24,0.16,12,11,0.351,0.248,0.158,0.129,0.087,0.278,12,20,22.47,4000,1439,"C2","Nonsp","M4"
"144",443,0.422,0.054,0.253,0.105,0.215,0.192,12,14,0.355,0.247,0.129,0.098,NA,0.32,14,NA,33.25,1820,2179,"B1","Farm","N2"
"145",253,0.533,0.048,0.107,0.026,0.186,0.181,10,11,0.282,0.184,0.091,0.066,0.176,0.218,11,1.29,10.66,1429,1250,"C1","Recr","M4"
"146",369,0.341,0.112,0.233,0.046,0.209,0.158,12,15,0.413,0.376,0.157,0.121,0.104,0.442,13,7.6,33,9150,1400,"C2","Mining","M4"
"147",206,0.52,0.02,0.195,0.088,0.211,0.199,17,9,0.336,NA,0.091,0.07,NA,0.291,12,NA,NA,NA,NA,"B2","Farm","N4"
"148",256,0.474,0.055,0.216,0.065,0.207,0.184,10,12,0.308,0.165,0.141,0.076,NA,0.287,13,NA,12.82,5359,5389,"A2","Fed","M2"
"149",290,0.538,0.028,0.163,0.085,0.254,0.165,13,11,0.368,0.269,0.116,0.055,0.139,0.275,8,NA,24.63,2670,1340,"A3","Nonsp","M2"
"150",272,0.443,0.073,0.235,0.108,0.233,0.179,12,14,0.252,0.205,0.076,0.1,0.152,0.213,13,NA,21.59,4790,1250,"C2","Nonsp","N1"
"151",229,0.384,0.087,0.292,0.145,0.23,0.178,6,8,0.31,NA,0.14,0.175,NA,0.293,12,NA,NA,NA,NA,"B1","Manu","N1"
"152",238,0.467,0.08,0.278,0.089,0.255,0.132,14,8,0.337,0.216,0.107,0.058,0.152,0.241,10,2.65,13.97,1970,1870,"C1","Nonsp","M4"
"153",260,0.435,0.063,0.136,0.042,0.188,0.133,9,9,0.323,0.166,0.092,0.071,0.224,0.263,11,1.1,13.07,1939,1450,"D1","Fed","M5"
"154",220,0.453,0.033,0.188,0.107,0.187,0.33,11,18,0.321,0.182,0.1,0.072,0.208,0.336,10,NA,NA,2750,1369,"B2","Farm","M5"
"155",353,0.269,0.076,0.26,0.058,0.221,0.135,11,10,0.334,0.404,0.149,0.1,0.095,0.317,13,NA,17.9,17979,3609,"B2","Fed","N4"
"156",306,0.508,0.076,0.233,0.106,0.243,0.193,12,13,0.314,0.237,0.115,0.058,NA,0.322,10,NA,34.12,3449,2319,"B2","Farm","M5"
"157",277,0.494,0.042,0.211,0.056,0.248,0.107,13,7,0.291,0.181,0.101,0.083,0.142,0.277,12,2.8,14.82,2710,2010,"A2","Nonsp","M2"
"158",223,0.548,0.032,0.105,0.062,0.25,0.151,11,8,0.334,0.108,0.084,0.053,0.147,0.235,12,NA,8.96,2579,1709,"D2","Manu","N5"
